feature,importance
death,0.0001679964975893828
smh,0.0001672105079883804
unsuitable,0.00016710306437574902
kieffer_jason,0.00016599043142499623
gun,0.00016584036686832454
shut,0.00016522619476800447
poor,0.00016297612045837652
live,0.00016276461786610802
republicans,0.00016222121480395963
wonder,0.00016181204557656238
laws,0.000160614083697017
http 8230,0.00015880452804347976
school,0.00015812029729645778
ho 8230,0.0001548312850357588
eat,0.00015482950119676054
simply,0.00015286729846072377
hoe http,0.00015201481964581854
sounds,0.00014947480723287538
times,0.00014871545928867792
look like,0.00014819715020154757
crime,0.0001479110035701949
democrats,0.00014713000952404072
income,0.00014700080782036547
hoes ain,0.00014615374446831333
police,0.0001447199980767603
schools,0.00014422035458857673
black,0.00014224076470011326
racist,0.0001412102514513239
talk,0.00014102359865893405
little,0.0001407561326807308
bunch,0.000139828961298028
gay,0.0001386904815577559
paid,0.0001375263409541475
sad,0.00013716121994982898
attack,0.00013643590833565297
8217,0.00013634002568665518
feel,0.00013560719780719897
issues,0.00013550850040162793
flappy,0.00013547330500407256
little bitch,0.00013289573989977652
cute,0.0001319934279689833
red,0.00013191761576612486
home,0.00013113960124012
jobs,0.00013044105612401542
clown,0.0001298664842121338
crazy,0.00012886250302700033
sex,0.00012880364604340503
win,0.00012722708200336901
legal,0.0001269209167121675
clowns,0.00012608009558529262
talking,0.00012568329610659264
makes,0.00012531129754982014
today,0.0001250085503876764
rest,0.00012497543882899432
quite,0.00012433039134592281
sense,0.00012348243924362385
guess,0.00012342199271062046
excellent,0.00012233206059104922
family,0.0001215468240962805
silly,0.00012093714474257277
million,0.00012080112936990879
old,0.00011861434844875787
working,0.00011819322902689
doing,0.00011806920096150575
sex xxx,0.00011793519568487369
lost,0.00011706627020353891
8221 128514,0.00011676575618768143
big,0.00011676283422840342
bro,0.00011674289529292702
democratic,0.00011656630443104424
aren,0.00011629076775287283
wtf,0.00011600246346442955
don like,0.00011519477174781865
pussy http,0.00011501950458748004
morons,0.00011411536182526879
small,0.00011404662325825262
getting,0.00011391616135867773
important,0.00011359579874847822
life,0.00011344064710582979
women,0.00011313629921116311
information,0.00011271560947956234
cuz,0.00011266538138314004
true,0.00011196684463379385
guys,0.00011124483961076911
face,0.00011090700228735597
